

坂本龍馬は[[あえない]]最期をとげた,あっけない
嫌いなピーマンを出され、[[あからさま]]にいやな顔をする,明白なさま
彼は趣味も持たず、生きるために[[あくせく]]働いてきた,小さなことを気にして落ち着かないさま
君が[[あくまで]]嘘をつきとおすなら、もう絶交だよ,どこまでも
いまだに簡単な問題が解けない彼を[[あざ笑う]],ばかにして笑う
ご希望にそえませんが、[[あしからず]]ご了承ください,悪く思わないで
なんとも面白みがなく、[[あじけない]]文章だ,興味がかんじられずつまらない
忙しいので後輩を適当に[[あしらう]],いい加減な対応をする
なまけていたのが[[あだ]]となって本番で失敗した,害悪
空に浮かぶ雲は、[[あたかも]]わたがしのようだ,まるで
昨日だけでなく今日も宿題をうつさせろなんて[[あつかましい]]やつだ,図々しい行動や態度で遠慮がない
強敵を前にしての[[あっけない]]結末,あっさりとしたさま
愛娘の結婚式のために、礼服を[[あつらえる]]ことにした,注文して作ってもらう
優等生の彼をほめ、息子が宿題さえしないことを[[あてこする]],他のことを口実にして、相手の悪口や皮肉を言う
彼の言っていることは、[[あながち]]間違いではない,必ずしも
京都には、一日では回りきれないほどの[[あまた]]の寺院がある,数多く
雨が激しく降ってきた。[[あまつさえ]]風も出てきた,さらに（悪いことが重なるときに使う）
アメリカ大統領の名前は、[[あまねく]]知れ渡っている,及ばないところがなく、一般的に
今の成績に[[あまんじる]]ことなく、もっと努力しなさい,与えられたものを不平不満なく受け入れる
事件の[[あらまし]]を説明する,おおまかな内容
代理を務めつつ、[[あわよくば]]組織に君臨しようとたくらむ,うまくいけば
体を悪くしたと聞いていましたが、最近の[[あんばい]]はいかがですか,具合
実力を[[いかんなく]]発揮して、優勝を勝ち取った,申し分なく十分に
多くの人がほしがると、[[いきおい]]値段も高くなるものだ,自然のなりゆきで
彼を泣かせるに至った[[いきさつ]]を話す,ことのなりゆき
老人を突き飛ばした若者に[[いきどおり]]を感じる,激しく怒る
「絶対に勝つ！」と[[いきまく]]彼に周囲は圧倒された,勢いよく言いまくる
この問題は5年生が解くには[[いささか]]難しい,少し
図書館のお話会に集まった子どもたちを童話の世界へと[[いざなう]],誘う
肝臓を悪くした父に、酒をやめるように[[いさめる]],（主に目上の人に対して）欠点を言って改めさせようとする
幼い子が欲しいものを我慢する姿は[[いじらしい]],幼いものの様子が同乗したくなるほどかわいそうだ
姉は楽しみにしえ知多旅行の準備を[[いそいそ]]と始めた,うきうきと
朝早くから夜遅くまで、ボランティア活動に[[いそしむ]],熱心にはげむ
君の弟はまだ[[いたいけ]]な子どもなのだから、そう怒るな,子どものいじらしいさまや、かわいいさま
命は永遠ではないのだから、[[いたずらに]]時間を過ごしてはいけない,無駄に
私は、画面に映し出された惨劇を見て[[いたたまれない]]気持ちになった,じっとしていられない
電車で席を譲り、老人を[[いたわる]],弱い立場の人などに優しく接する
先生は、命あるものを[[いつくしむ]]心が大切だと教えてくれた,弱者などをかわいがって大切にする
世話を[[いとう]]ことなく、低学年と交流する六年生の姿に感心する,いやがって避ける
我が身だけではなく周囲の人も[[いとおしむ]]よう母から教えられた,愛情をもって大事にする
働きづめだったので、少しの[[いとま]]をもらう,休暇
苦労を[[いとわず]]、働く姿は尊敬に値する,いやがらずに
チームの敗北に私の無気力が関係しているのは[[いなめない]],否定できない
彼女の説明には納得できず[[いぶかしい]]点がある,疑わしい
彼の不自然な態度を[[いぶかる]],疑わしく思う
山に入ると、若葉の深い[[いぶき]]を感じた,生気
